location,city,state,city_primary,audience_segment,creative_size,creative_messaging,state_raw,app_url,exchange,device_make,impressions,clicks,viewable_impressions,measurable_impressions,total_conversions,gross_cost
"Champaign & Springfield-Decatur,Illinois",Champaign & Springfield-Decatur,Illinois,Champaign,Media and Entertainment>Sports and Recreational Activities>Interest (Affinity)>Team Sports>Baseball>Major League Baseball (MLB),300x250,Subscribe Today - 10% Discount,Illinois,aol.com,OpenX,Smartphone,11062,78,6539,9391,2,1500.09932
"Los Angeles, California",Los Angeles,California,Los Angeles,Online Behavior>United States>Beauty and Fitness>Face and Body Care>Skin and Nail Care,300x50,10% Discount - Ends 6/1,California,apnews.com,BidSwitch,Smartphone,100800,185,14473,85424,10,7004.730483
"Los Angeles, California",Los Angeles,California,Los Angeles,US>Interest Propensities>Activities and Interests>Financial Aid,300x250,10% Discount - Ends 6/1,California,apnews.com,Google Ad Manager,Smartphone,12864,84,5549,11852,5,1905.889693
"Tampa-St Petersburg (Sarasota), Florida",Tampa-St Petersburg (Sarasota),Florida,Tampa,Media and Entertainment>Sports and Recreational Activities>Interest (Affinity)>Olympics>Summer Olympics,320x50,Sign up Today - 10% Off,Florida,att.yahoo.com,BidSwitch,Smartphone,10992,97,6677,10132,3,1675.987427
"Nashville, Tennessee",Nashville,Tennessee,Nashville,US>Demographic>Family>Female Head of Household,300x250,Subscribe Today - 10% Discount,Tennessee,att.yahoo.com,Google Ad Manager,Smartphone,14984,63,9614,14086,3,1505.009635
"New York City, New York",New York City,New York,New York City,Online Behavior>United States>Sports>Sports League>MLB,320x50,10% Discount - Ends 6/1,New York,autotrader.com,Google Ad Manager,Smartphone,19093,50,9626,17815,10,6612.14569
"West Palm Beach-Ft. Pierce, Florida",West Palm Beach-Ft. Pierce,Florida,West Palm Beach,Online Behavior>United States>Autos and Vehicles>Brands>Dodge,300x250,10% Discount - Ends 6/1,Florida,autotrader.com,BidSwitch,Smartphone,43057,122,23767,41484,7,5884.931394
"Miami-Ft. Lauderdale, Florida",Miami-Ft. Lauderdale,Florida,Miami,US>Brand Propensities>Travel>Sandals Resorts Buyer Propensity,300x50,Sign up Today - 10% Off,Florida,autotrader.com,Google Ad Manager,Smartphone,53561,147,37063,51480,14,2039.35506
"Los Angeles, California",Los Angeles,California,Los Angeles,Mobile>US>Shopping>Brand>Old Navy,300x250,Sign up Now - 10% Off,California,autotrader.com,PubMatic,Smartphone,67752,174,47126,65080,3,1557.01573
"New York City, New York",New York City,New York,New York City,OnAudience>Intent>Animals & Pet,300x250,Subscribe Today - 10% Discount,New York,a-z-animals.com,OpenX,Smartphone,75161,280,40385,70325,3,1506.461108
"New York City, New York",New York City,New York,New York City,US>Multibuyer Behaviors>Paid with Credit Card,300x250,Subscribe Today - 10% Discount,New York,baseball.fantasysports.yahoo.com,BidSwitch,Apple PC,12770,84,6224,11110,21,2087.509827
"Chicago, Illinois",Chicago,Illinois,Chicago,US>Response Performance>Direct Marketing Responders,300x250,10% Discount - Ends 6/1,Illinois,baseball-reference.com,Xandr - Monetize SSP (AppNexus),Smartphone,117713,374,16357,100222,5,2505.403543
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>Games>Computer and Video Games,300x250,Subscribe Today - 10% Discount,Illinois,bbc.com,PubMatic,Apple PC,26558,111,15761,23532,14,6751.558981
"West Palm Beach-Ft. Pierce, Florida",West Palm Beach-Ft. Pierce,Florida,West Palm Beach,Online Behavior>United States>Finance>Insurance>Home Insurance,300x250,Sign up Today - 10% Off,Florida,bbc.com,Google Ad Manager,Smartphone,53464,212,22151,49058,9,5741.098045
"San Francisco, California",San Francisco,California,San Francisco,US>Reach>Sociodemographic>Dwelling Size>1 Unit,300x50,10% Discount - Ends 6/1,California,bbc.com,BidSwitch,Smartphone,13686,66,7928,11931,11,4660.560369
"Orlando-Daytona Beach, Florida",Orlando-Daytona Beach,Florida,Orlando,Online Behavior>United States>B2B>Occupation>MechanicalEngineer,320x50,Sign up Today - 10% Off,Florida,bbc.com,Google Ad Manager,Smartphone,17752,98,5855,15753,5,2200.297094
"New York City, New York",New York City,New York,New York City,US>Interest Propensities>Insurance>MassMutual,300x250,10% Discount - Ends 6/1,New York,bbc.com,Google Ad Manager,Windows PC,32845,164,16163,30368,5,1910.436686
"Chicago, Illinois",Chicago,Illinois,Chicago,US>Premium Gender>Premium Gender>Males,320x50,Sign up Today - 10% Off,Illinois,behindthevoiceactors.com,Google Ad Manager,Smartphone,15322,55,6416,14049,5,1850.464205
"New York City, New York",New York City,New York,New York City,US>Reach>Propensity Models>Hobbies and Interest>Food and Drinks>Eats at Fast Food Restaurants,300x250,Subscribe Today - 10% Discount,New York,bestbuy.com,BidSwitch,Smartphone,18458,111,3623,16934,6,2866.496671
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>Travel>Specialty Travel>Adventure Travel,320x50,10% Discount - Ends 6/1,Illinois,biblegateway.com,Google Ad Manager,Smartphone,108559,212,79254,100563,7,6850.576483
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>Travel>Tourist Destinations>Zoos-Aquariums-Preserves,320x50,10% Discount - Ends 6/1,Illinois,biblegateway.com,Index Exchange,Smartphone,106151,299,75304,99311,9,6616.88066
"Jacksonville, Florida",Jacksonville,Florida,Jacksonville,Online Behavior>United States>Sports>Sports League>NBA,320x50,10% Discount - Ends 6/1,Florida,biblegateway.com,Magnite DV+,Smartphone,149618,260,126031,140596,26,6605.586158
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>Finance>Investing>Derivatives,320x50,10% Discount - Ends 6/1,Illinois,biblegateway.com,Index Exchange,Smartphone,114384,100,61524,105104,12,5803.331454
"Augusta, Georgia",Augusta,Georgia,Augusta,Online Behavior>United States>Law and Government>Public Safety,320x50,Subscribe Today - 10% Discount,Georgia,biblegateway.com,Taboola,Smartphone,43367,111,14306,39750,12,5214.298693
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>Jobs and Education>Education,300x250,Sign up Now - 10% Off,Illinois,biblegateway.com,Google Ad Manager,Windows PC,113420,333,33557,104929,11,5124.435934
"Miami-Ft. Lauderdale, Florida",Miami-Ft. Lauderdale,Florida,Miami,Online Behavior>United States>Autos and Vehicles>Brands>Ferrari,300x250,Sign up Today - 10% Off,Florida,biblegateway.com,Google Ad Manager,Windows PC,88293,255,24101,75557,19,5054.481581
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>News>Sports News,320x50,Subscribe Today - 10% Discount,Illinois,biblegateway.com,Google Ad Manager,Smartphone,26715,100,12287,25003,6,4623.089672
"Birmingham, Alabama",Birmingham,Alabama,Birmingham,Telecommunications (Telco),320x50,Sign up Now - 10% Off,Alabama,biblegateway.com,Google Ad Manager,Smartphone,65380,208,30039,60482,5,2905.884162
"Los Angeles, California",Los Angeles,California,Los Angeles,"US>B2B>Purchase DM>Technology Services, Hardware and>or Software>I have no input into the final decision",300x250,10% Discount - Ends 6/1,California,biblegateway.com,Google Ad Manager,Smartphone,130796,300,109118,122937,6,2196.661232
"Nashville, Tennessee",Nashville,Tennessee,Nashville,US>Reach>Propensity Models>Hobbies and Interest>Food and Drinks>Wine Lovers,300x250,Subscribe Today - 10% Discount,Tennessee,biblegateway.com,Google Ad Manager,Windows PC,64892,214,34731,59369,24,2096.285549
"Chicago, Illinois",Chicago,Illinois,Chicago,US>Brand Propensities>Travel>Choice Hotels Buyer Propensity,300x250,10% Discount - Ends 6/1,Illinois,biblegateway.com,Magnite DV+,Smartphone,210096,590,90928,184823,4,2027.431388
"Flint-Saginaw-Bay City, Michigan",Flint-Saginaw-Bay City,Michigan,Flint,OnAudience>Interest>Careers,320x50,Subscribe Today - 10% Discount,Michigan,biblegateway.com,Google Ad Manager,Smartphone,77313,191,40366,71128,3,1790.390198
"Jacksonville, Florida",Jacksonville,Florida,Jacksonville,US>Brand Propensities>Travel>Hotel Tonight Buyer Propensity,300x250,10% Discount - Ends 6/1,Florida,biblegateway.com,Magnite DV+,Smartphone,188170,490,155266,176562,6,1599.715069
"Los Angeles, California",Los Angeles,California,Los Angeles,OnAudience>Interest>Science>Weather Forecast,300x250,Sign up Today - 10% Off,California,biblegateway.com,Google Ad Manager,Windows PC,16808,43,9211,13372,3,1574.79128
"Nashville, Tennessee",Nashville,Tennessee,Nashville,Media and Entertainment>Sports and Recreational Activities>Interest (Affinity)>Motorsports,300x250,Subscribe Today - 10% Discount,Tennessee,biblegateway.com,Google Ad Manager,Windows PC,21531,55,15593,18617,6,1470.971925
"New York City, New York",New York City,New York,New York City,Mobile>US>Travel>Destination>International Travelers>Frequent Travelers,300x250,Sign up Today - 10% Off,New York,biblegateway.com,Smart RTB+ (Smartadserver),Apple PC,18313,60,9481,16300,4,1456.934187
"Nashville, Tennessee",Nashville,Tennessee,Nashville,"US Financial>Estimated Discretionary Spending (Financial)>Greater than $2,499",320x50,10% Discount - Ends 6/1,Tennessee,biblestudytools.com,Google Ad Manager,Smartphone,10779,86,6420,10287,3,1759.704833
"Miami-Ft. Lauderdale, Florida",Miami-Ft. Lauderdale,Florida,Miami,US>AUTO>Primary Vehicle>New or Used>Pre-owned,320x50,Subscribe Today - 10% Discount,Florida,billboard.com,Google Ad Manager,Smartphone,11325,88,6186,10612,2,1573.25409
"Tallahassee, Florida-Thomasville, Georgia",Tallahassee,Florida,Tallahassee,Media and Entertainment>Gaming>Interest (Affinity)>Video Games,320x50,Subscribe Today - 10% Discount,"Florida-Thomasville, Georgia",bleacherbreaker.com,OpenX,Smartphone,9078,21,4051,6215,1,1700.795736
"San Francisco, California",San Francisco,California,San Francisco,Online Behavior>United States>Games>Card Games,320x50,10% Discount - Ends 6/1,California,boattrader.com,Google Ad Manager,Smartphone,11511,33,8268,11042,3,6815.712325
"Tri-Cities, Tennessee-Virginia",Tri-Cities,Tennessee,Tri-Cities,Online Behavior>United States>Autos and Vehicles>Brands>Rolls-Royce,320x50,Sign up Today - 10% Off,Tennessee-Virginia,boattrader.com,BidSwitch,Smartphone,14047,44,9934,13377,7,5729.650755
"Los Angeles, California",Los Angeles,California,Los Angeles,US>Reach>Propensity Models>Hobbies and Interest>Photography,300x250,Sign up Now - 10% Off,California,boattrader.com,BidSwitch,Smartphone,20278,74,14227,19480,3,2921.110207
"South Bend-Elkhart, Indiana",South Bend-Elkhart,Indiana,South Bend,Travel and Tourism>Interest (Affinity)>Destinations>North America,320x50,Sign up Now - 10% Off,Indiana,boattrader.com,Magnite DV+,Smartphone,12354,10,8561,11782,5,1808.307918
"Chicago, Illinois",Chicago,Illinois,Chicago,"US>Reach>Sociodemographic>Estimated Current Home Value>$160,000-$199,999",300x250,Subscribe Today - 10% Discount,Illinois,boattrader.com,Google Ad Manager,Smartphone,13132,67,6133,12377,4,1807.693142
"West Palm Beach-Ft. Pierce, Florida",West Palm Beach-Ft. Pierce,Florida,West Palm Beach,US>Connected Impulse-Shopper Audience,300x250,10% Discount - Ends 6/1,Florida,boxrox.com,Smart RTB+ (Smartadserver),Smartphone,35034,145,13904,34123,3,2141.469346
"Rockford, Illinois",Rockford,Illinois,Rockford,US>Interest Propensities>Activities and Interests>International News,300x50,Subscribe Today - 10% Discount,Illinois,bridesblush.com,Google Ad Manager,Smartphone,9946,20,4818,7382,3,1525.962329
"Miami-Ft. Lauderdale, Florida",Miami-Ft. Lauderdale,Florida,Miami,Online Behavior>United States>Intent>Auto Buyers>Car Make>Nissan,320x50,Subscribe Today - 10% Discount,Florida,britannica.com,Google Ad Manager,Smartphone,8068,10,5545,7554,1,5995.041002
"Nashville, Tennessee",Nashville,Tennessee,Nashville,Online Behavior>United States>Life Event>Bride,320x50,Subscribe Today - 10% Discount,Tennessee,businessinsider.com,TripleLift,Smartphone,11919,69,8100,11524,2,6350.916905
"Miami-Ft. Lauderdale, Florida",Miami-Ft. Lauderdale,Florida,Miami,Online Behavior>United States>Life Event>Engagement,320x50,Sign up Today - 10% Off,Florida,businessinsider.com,Google Ad Manager,Smartphone,35163,250,21222,33671,15,6336.7181
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>The Changing Consumer>Internet Connection,300x250,10% Discount - Ends 6/1,Illinois,businessinsider.com,Google Ad Manager,Windows PC,27202,70,5202,23474,11,4253.979116
"Los Angeles, California",Los Angeles,California,Los Angeles,Lotame>Personal Finance>Estate Planning,320x50,Subscribe Today - 10% Discount,California,businessinsider.com,Google Ad Manager,Smartphone,59782,212,28235,57543,13,1455.703554
"Nashville, Tennessee",Nashville,Tennessee,Nashville,Online Behavior>United States>Sports>Team Sports>Volleyball,300x250,Subscribe Today - 10% Discount,Tennessee,buzzfeed.com,Yieldmo,Apple PC,10066,63,6978,9369,19,6879.587097
"Chicago, Illinois",Chicago,Illinois,Chicago,Mobile>US>Food>Restaurant>Brand>Outback Steakhouse,300x250,Subscribe Today - 10% Discount,Illinois,buzzfeed.com,TripleLift,Smartphone,11296,54,6822,9274,4,1682.338499
"Nashville, Tennessee",Nashville,Tennessee,Nashville,Online Behavior>United States>Sports>Sporting Goods,320x50,Sign up Now - 10% Off,Tennessee,calculator.net,Google Ad Manager,Smartphone,18633,60,9424,18087,15,6785.063293
"New York City, New York",New York City,New York,New York City,Online Behavior>United States>News>Newspapers,320x50,10% Discount - Ends 6/1,New York,calculator.net,PubMatic,Smartphone,37176,100,31829,35639,21,6753.595242
"Knoxville, Tennessee",Knoxville,Tennessee,Knoxville,Online Behavior>United States>Sports>Winter Sports>Skiing and Snowboarding,320x50,10% Discount - Ends 6/1,Tennessee,calculator.net,Google Ad Manager,Smartphone,29251,95,25060,28038,8,5994.746834
"Mobile, Alabama-Pensacola, Florida",Mobile,Alabama,Mobile,US>Reach>Propensity Models>Household Consumer Expenditures>Home Office,320x50,Subscribe Today - 10% Discount,"Alabama-Pensacola, Florida",calculator.net,Index Exchange,Smartphone,36431,108,31262,35043,11,3285.834522
"Chicago, Illinois",Chicago,Illinois,Chicago,OnAudience>Intent>Sporting Goods,300x250,Sign up Now - 10% Off,Illinois,calculator.net,PubMatic,Smartphone,22004,80,18735,21127,4,1632.472782
"Knoxville, Tennessee",Knoxville,Tennessee,Knoxville,"Online Behavior>United States>Intent>Shopping>Consumer Electronics>Computers, Laptops",320x50,Sign up Today - 10% Off,Tennessee,cargurus.com,Yahoo Exchange,Smartphone,16644,10,5055,15831,5,6386.464232
"Tallahassee, Florida-Thomasville, Georgia",Tallahassee,Florida,Tallahassee,Online Behavior>United States>Sports>Fantasy Sports,320x50,Sign up Now - 10% Off,"Florida-Thomasville, Georgia",cargurus.com,Index Exchange,Smartphone,45285,190,30225,43298,11,4728.012406
"Huntsville-Decatur (Florence), Alabama",Huntsville-Decatur (Florence),Alabama,Huntsville,US>Interest Propensities>Oil & Gas>QuickTrip,320x50,Subscribe Today - 10% Discount,Alabama,cargurus.com,Index Exchange,Smartphone,16227,40,9438,15611,3,1991.94384
"Memphis, Tennessee",Memphis,Tennessee,Memphis,OnAudience>Interest>Shopping>Shopping Mall Buyers,300x250,Sign up Now - 10% Off,Tennessee,cargurus.com,Sharethrough,Smartphone,7409,10,5009,7160,12,1472.110115
"Grand Rapids-Kalamazoo, Michigan",Grand Rapids-Kalamazoo,Michigan,Grand Rapids,Online Behavior>United States>Law and Government>Military,320x50,Sign up Today - 10% Off,Michigan,cars.com,Google Ad Manager,Smartphone,17582,56,9848,16558,12,6846.447915
"New York City, New York",New York City,New York,New York City,Online Behavior>United States>Travel>Bus and Rail,300x250,Sign up Now - 10% Off,New York,cars.com,BidSwitch,Windows PC,45711,130,23052,42375,11,6417.876169
"Grand Rapids-Kalamazoo, Michigan",Grand Rapids-Kalamazoo,Michigan,Grand Rapids,Online Behavior>United States>Validated Demographic>Age>18-64,300x250,10% Discount - Ends 6/1,Michigan,cars.com,PubMatic,Windows PC,48562,150,29108,45570,11,6346.633024
"Nashville, Tennessee",Nashville,Tennessee,Nashville,Online Behavior>United States>Validated Demographic>Gender and Age Combined>Males 25-44,300x250,Sign up Now - 10% Off,Tennessee,cars.com,Google Ad Manager,Apple PC,47394,184,22712,41918,24,4701.496237
"Nashville, Tennessee",Nashville,Tennessee,Nashville,Purchase Behaviors>Q2 Environmentally Concerned Shoppers,320x50,Sign up Now - 10% Off,Tennessee,cars.com,Sovrn,Smartphone,66554,169,39206,62109,6,1890.885935
"Los Angeles, California",Los Angeles,California,Los Angeles,Travel and Tourism>Interest (Affinity)>Destinations>North America>United States,300x50,Subscribe Today - 10% Discount,California,cars.com,Google Ad Manager,Smartphone,9730,45,2971,5102,3,1778.937935
"Chicago, Illinois",Chicago,Illinois,Chicago,Media and Entertainment>Connected TV and Over-the-Top (CTV and OTT)>Streaming Television and Film Viewership>OTT Movie Viewers>Genre>Crime Movie Streamers,300x250,Sign up Now - 10% Off,Illinois,cars.com,BidSwitch,Windows PC,69757,199,41258,65374,20,1510.61532
"Orlando-Daytona Beach, Florida",Orlando-Daytona Beach,Florida,Orlando,US Financial>Likely Attitude and Behavior>Bank Selection>Customer Service Very Important (Financial),300x50,Sign up Today - 10% Off,Florida,carscoops.com,PubMatic,Smartphone,8862,30,1359,7114,1,1481.945157
"Nashville, Tennessee",Nashville,Tennessee,Nashville,Online Behavior>United States>Sports>Individual Sports>Running and Walking,300x250,10% Discount - Ends 6/1,Tennessee,cbsnews.com,BidSwitch,Smartphone,7229,20,5668,6760,3,6812.588702
"West Palm Beach-Ft. Pierce, Florida",West Palm Beach-Ft. Pierce,Florida,West Palm Beach,Online Behavior>United States>People and Society>Family and Relationships>Parents,320x50,Subscribe Today - 10% Discount,Florida,cbsnews.com,BidSwitch,Smartphone,115544,412,79182,109463,56,6721.094453
"Los Angeles, California",Los Angeles,California,Los Angeles,Online Behavior>United States>Travel>Tourist Destinations>Regional Parks and Gardens,300x250,Subscribe Today - 10% Discount,California,cbsnews.com,Google Ad Manager,Windows PC,48211,160,30157,43810,14,6708.463351
"New York City, New York",New York City,New York,New York City,Online Behavior>United States>Autos and Vehicles>Brands>Mazda,320x50,Subscribe Today - 10% Discount,New York,cbsnews.com,TripleLift,Smartphone,134847,450,104268,128470,125,6040.595578
"West Palm Beach-Ft. Pierce, Florida",West Palm Beach-Ft. Pierce,Florida,West Palm Beach,Online Behavior>United States>Travel>Tourist Destinations>Mountain and Ski Resorts,320x50,Subscribe Today - 10% Discount,Florida,cbsnews.com,BidSwitch,Smartphone,35178,155,23374,33779,8,5738.809089
"Los Angeles, California",Los Angeles,California,Los Angeles,Online Behavior>United States>Validated Demographic>Gender and Age Combined>Females 45-54,320x50,Subscribe Today - 10% Discount,California,cbsnews.com,Google Ad Manager,Smartphone,43117,100,6478,27405,8,4250.430439
"Lansing, Michigan",Lansing,Michigan,Lansing,US>Reach>Propensity Models>Hobbies and Interest>Sports>Avid Runners,300x250,10% Discount - Ends 6/1,Michigan,cbsnews.com,BidSwitch,Smartphone,510778,1290,70777,436133,6,3870.253867
"San Francisco, California",San Francisco,California,San Francisco,OnAudience>Interest>Business,300x250,Sign up Today - 10% Off,California,cbsnews.com,PubMatic,Smartphone,13700,63,3609,12644,4,2032.700147
"Miami-Ft. Lauderdale, Florida",Miami-Ft. Lauderdale,Florida,Miami,US>Reach>Propensity Models>Real Estate>Monthly Mortgage Payment>$800-$999,300x250,Sign up Now - 10% Off,Florida,cbsnews.com,Index Exchange,Apple PC,13075,74,5980,12114,15,1936.130798
"Miami-Ft. Lauderdale, Florida",Miami-Ft. Lauderdale,Florida,Miami,US>Green Consumer Audience,320x50,Subscribe Today - 10% Discount,Florida,cbsnews.com,Smart RTB+ (Smartadserver),Smartphone,69540,204,28713,62829,15,1838.98773
"New York City, New York",New York City,New York,New York City,US>Reach>Propensity Models>Household Consumer Expenditures>Lawn and Garden,300x250,Sign up Today - 10% Off,New York,cbsnews.com,Google Ad Manager,Windows PC,65983,212,8536,57434,3,1599.076249
"Chicago, Illinois",Chicago,Illinois,Chicago,US Interest>Home>Home Improvement>Home Improvement Grouping,320x50,Subscribe Today - 10% Discount,Illinois,cbsnews.com,Google Ad Manager,Smartphone,21478,50,15548,20651,24,1541.214047
"New York City, New York",New York City,New York,New York City,Online Behavior>United States>Real Estate>Apartments and Residential Rentals,320x50,Sign up Now - 10% Off,New York,cbssports.com,Google Ad Manager,Smartphone,9515,30,6169,9138,3,5776.508186
"Chicago, Illinois",Chicago,Illinois,Chicago,US>Reach>Propensity Models>Hobbies and Interest>Food and Drinks>High-end Spirit Drinkers,320x50,Sign up Today - 10% Off,Illinois,cbssports.com,OpenX,Smartphone,20548,40,14259,19654,13,3060.424769
"Charleston, South Carolina",Charleston,South Carolina,Charleston,OnAudience>Intent>Sporting Goods>Team Sports,300x250,10% Discount - Ends 6/1,South Carolina,cbssports.com,Magnite DV+,Apple PC,94340,250,16955,76971,13,1517.244377
"Grand Rapids-Kalamazoo, Michigan",Grand Rapids-Kalamazoo,Michigan,Grand Rapids,Online Behavior>United States>Validated Demographic>Age>25-44,300x50,Sign up Today - 10% Off,Michigan,cheapoair.com,PubMatic,Smartphone,114723,350,14623,92063,6,4742.008637
"Chicago, Illinois",Chicago,Illinois,Chicago,Media and Entertainment>Sports and Recreational Activities>Interest (Affinity),300x250,Sign up Now - 10% Off,Illinois,cheapoair.com,Google Ad Manager,Smartphone,14581,85,6970,8882,4,2636.202124
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>Travel>Tourist Destinations>Beaches and Islands,300x50,10% Discount - Ends 6/1,Illinois,cheezburger.com,Google Ad Manager,Smartphone,19461,74,14647,18731,9,7311.99875
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>The Changing Consumer>Direct to Consumer,320x50,Sign up Today - 10% Off,Illinois,cheezburger.com,PubMatic,Smartphone,27032,110,21893,26127,5,5292.896913
"Jacksonville, Florida",Jacksonville,Florida,Jacksonville,Online Behavior>United States>Arts and Entertainment>Music and Audio,300x250,Sign up Today - 10% Off,Florida,chicagotribune.com,Google Ad Manager,Smartphone,7628,19,5048,7154,5,6684.062804
"New York City, New York",New York City,New York,New York City,Online Behavior>United States>Autos and Vehicles>Brands>Volvo,320x50,Subscribe Today - 10% Discount,New York,chocolatecoveredkatie.com,Google Ad Manager,Smartphone,7806,20,3150,7247,1,6162.320833
"Miami-Ft. Lauderdale, Florida",Miami-Ft. Lauderdale,Florida,Miami,US>B2B>B2B Decision Maker Responsibilities>Company Liability or Insurance,300x250,10% Discount - Ends 6/1,Florida,citationmachine.net,Google Ad Manager,Windows PC,31443,70,19134,28059,9,2122.765888
"San Francisco, California",San Francisco,California,San Francisco,US>Reach>Propensity Models>Luxury Home Goods Store Shopper,320x50,Sign up Today - 10% Off,California,classmates.com,Google Ad Manager,Smartphone,29107,64,4047,27357,9,3339.454322
"Jacksonville, Florida",Jacksonville,Florida,Jacksonville,US>B2B>B2B Decision Maker Responsibilities>Employee Benefits,320x50,Subscribe Today - 10% Discount,Florida,classmates.com,Magnite DV+,Smartphone,12451,30,2987,11295,4,2127.323828
"New York City, New York",New York City,New York,New York City,US>Brand Propensities>Travel>American Airlines Buyer Propensity,300x250,Subscribe Today - 10% Discount,New York,classmates.com,PulsePoint,Apple PC,12176,10,5460,11154,10,1816.030806
"San Francisco, California",San Francisco,California,San Francisco,OnAudience,300x250,Sign up Today - 10% Off,California,clutchpoints.com,Google Ad Manager,Smartphone,7472,10,1191,5883,1,2183.952037
"Chicago, Illinois",Chicago,Illinois,Chicago,Media and Entertainment>Audio and Video Streaming>Streaming Audio,300x250,Sign up Now - 10% Off,Illinois,cnbc.com,Google Ad Manager,Smartphone,42451,122,29142,41093,7,1530.553686
"New York City, New York",New York City,New York,New York City,US>Rural Improvement Fanatic,320x50,Subscribe Today - 10% Discount,New York,cnbc.com,Index Exchange,Smartphone,10677,88,7247,10338,3,1483.452706
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>Sports>Sports League>Premier League,300x250,Sign up Today - 10% Off,Illinois,cnet.com,BidSwitch,Smartphone,8217,25,5740,8009,11,6051.334623
"Chattanooga, Tennessee",Chattanooga,Tennessee,Chattanooga,Online Behavior>United States>The Changing Consumer>Gaming Equipment,320x50,Sign up Today - 10% Off,Tennessee,cnet.com,TripleLift,Smartphone,7530,20,5468,7298,3,5038.714067
"New York City, New York",New York City,New York,New York City,Online Behavior>United States>Travel>Travel,320x50,Subscribe Today - 10% Discount,New York,cnn.com,Google Ad Manager,Smartphone,272509,736,89526,237859,69,8168.347077
"New York City, New York",New York City,New York,New York City,Online Behavior>United States>Beauty and Fitness>Face and Body Care>Unwanted Body and Facial Hair Removal,300x250,Subscribe Today - 10% Discount,New York,cnn.com,Google Ad Manager,Smartphone,106392,299,39599,94941,3,6542.612428
"Los Angeles, California",Los Angeles,California,Los Angeles,Online Behavior>United States>Intent>Auto Buyers>Car Make>Toyota,320x50,Sign up Now - 10% Off,California,cnn.com,PubMatic,Smartphone,9060,30,5190,8621,14,4934.851563
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>Food and Drink>Restaurants>Dining Guides,320x50,Sign up Now - 10% Off,Illinois,cnn.com,Index Exchange,Smartphone,116926,321,69132,111957,22,4918.040982
"New York City, New York",New York City,New York,New York City,Media and Entertainment>Music,300x250,10% Discount - Ends 6/1,New York,cnn.com,Yahoo Exchange,Smartphone,45402,122,17284,27542,5,2163.265346
"Chicago, Illinois",Chicago,Illinois,Chicago,OnAudience>Interest>Technology,300x50,Sign up Now - 10% Off,Illinois,cnn.com,Google Ad Manager,Smartphone,84306,185,45376,79935,3,1809.590961
"Los Angeles, California",Los Angeles,California,Los Angeles,US>Interest Propensities>Social>Premium User Generated Content,300x250,Subscribe Today - 10% Discount,California,cnn.com,Google Ad Manager,Smartphone,88499,186,18950,71458,5,1803.139812
"South Bend-Elkhart, Indiana",South Bend-Elkhart,Indiana,South Bend,OnAudience>Interest>Business>Economy,300x250,Subscribe Today - 10% Discount,Indiana,cnn.com,Google Ad Manager,Smartphone,77748,227,6170,53603,3,1498.3009
"Chicago, Illinois",Chicago,Illinois,Chicago,US>Reach>Propensity Models>Lifestyle>Charities>Contributes to Charities,320x50,10% Discount - Ends 6/1,Illinois,commercialappeal.com,Google Ad Manager,Smartphone,10191,75,1243,8897,3,2365.914372
"San Francisco, California",San Francisco,California,San Francisco,US>Reach>Propensity Models>Household Consumer Expenditures>Kitchen,320x50,Sign up Now - 10% Off,California,culinaryhill.com,Google Ad Manager,Smartphone,10093,65,3901,9645,2,3105.283004
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>Finance>Financial Planning and Management>Asset and Portfolio Management,300x250,Subscribe Today - 10% Discount,Illinois,culturess.com,Google Ad Manager,Smartphone,9328,56,7102,8925,5,3408.076049
"Miami-Ft. Lauderdale, Florida",Miami-Ft. Lauderdale,Florida,Miami,Online Behavior>United States>B2B>Occupation>OfficeManager,300x250,Subscribe Today - 10% Discount,Florida,dafont.com,BidSwitch,Windows PC,24464,0,3275,21993,6,2959.114973
"New York City, New York",New York City,New York,New York City,Online Behavior>United States>Intent>Shopping>CPG>General� Grocery,300x250,Subscribe Today - 10% Discount,New York,dailybee.com,Google Ad Manager,Smartphone,8111,0,4346,6163,1,5000.761206
"New York City, New York",New York City,New York,New York City,Online Behavior>United States>Intent>Auto Buyers>Car Make>Hyundai,320x50,10% Discount - Ends 6/1,New York,daily-choices.com,OpenX,Smartphone,25532,140,15219,21497,9,6047.174109
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>Validated Demographic>Gender and Age Combined>Females 18-54,320x50,Sign up Now - 10% Off,Illinois,daily-choices.com,PubMatic,Smartphone,28553,90,11390,23355,13,5573.112396
